Ricardo Amorim, 2.0, 2.0, 9.333333333333332, 9.5
Maria Betania, 11.333333333333332, 2.0, 18.666666666666664, 9.5
Caetano Veloso, 20.666666666666664, 2.0, 27.999999999999996, 9.5
Rita Lee, 2.0, 44.0, 9.333333333333332, 51.5
Jorge Vercilo, 11.333333333333332, 44.0, 18.666666666666664, 51.5
Cassia Heler, 20.666666666666664, 44.0, 27.999999999999996, 51.5
Gilberto Gil, 2.0, 86.0, 9.333333333333332, 93.5
Ana Carolina, 11.333333333333332, 86.0, 18.666666666666664, 93.5
Seu Jorge, 20.666666666666664, 86.0, 27.999999999999996, 93.5
Marisa Monte, 2.0, 128.0, 9.333333333333332, 135.5
Matinho da Vila, 11.333333333333332, 128.0, 18.666666666666664, 135.5
Vanessa da Mata, 20.666666666666664, 128.0, 27.999999999999996, 135.5
